x,y,psi,u,v,r,n1x,n1y,n2x,n2y,n3x,n3y,n4x,n4y
0.009805,-0.012355,-0.003942,0.000148,0.000311,0.000238,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059639,0.000000,0.059302
0.009778,-0.012407,-0.004017,0.000145,0.000308,0.000237,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059495,0.000000,0.059160
0.009750,-0.012463,-0.004097,0.000144,0.000306,0.000237,0.000000,0.000000,0.000000,0.000000,0.000094,-0.059366,0.000000,0.059060
0.009724,-0.012515,-0.004170,0.000144,0.000304,0.000234,0.000000,0.000000,0.000000,0.000000,0.000168,-0.059171,0.000000,0.058917
0.009694,-0.012572,-0.004251,0.000145,0.000303,0.000231,0.000000,0.000000,0.000000,0.000000,0.000220,-0.059064,0.000000,0.058740
0.009668,-0.012623,-0.004323,0.000145,0.000303,0.000227,0.000000,0.000000,0.000000,0.000000,0.000279,-0.058918,0.000000,0.058563
0.009640,-0.012679,-0.004398,0.000145,0.000301,0.000222,0.000000,0.000000,0.000000,0.000000,0.000325,-0.058822,0.000000,0.058373
0.009613,-0.012729,-0.004466,0.000146,0.000300,0.000218,0.000000,0.000000,0.000000,0.000000,0.000374,-0.058713,0.000000,0.058185
0.009587,-0.012780,-0.004534,0.000146,0.000298,0.000216,0.000000,0.000000,0.000000,0.000000,0.000418,-0.058605,0.000000,0.058008
0.009557,-0.012836,-0.004610,0.000146,0.000295,0.000215,0.000000,0.000000,0.000000,0.000000,0.000472,-0.058459,0.000000,0.057869
0.009531,-0.012885,-0.004677,0.000147,0.000291,0.000215,0.000000,0.000000,0.000000,0.000000,0.000532,-0.058291,0.000000,0.057735
0.009502,-0.012938,-0.004750,0.000147,0.000287,0.000214,0.000000,0.000000,0.000000,0.000000,0.000586,-0.058127,0.000000,0.057622
0.009476,-0.012986,-0.004816,0.000148,0.000287,0.000213,0.000000,0.000000,0.000000,0.000000,0.000636,-0.057985,0.000000,0.057489
0.009446,-0.013040,-0.004890,0.000148,0.000285,0.000210,0.000000,0.000000,0.000000,0.000000,0.000678,-0.057858,0.000000,0.057337
0.009419,-0.013088,-0.004955,0.000148,0.000283,0.000206,0.000000,0.000000,0.000000,0.000000,0.000722,-0.057738,0.000000,0.057166
0.009390,-0.013139,-0.005024,0.000148,0.000281,0.000204,0.000000,0.000000,0.000000,0.000000,0.000757,-0.057642,0.000000,0.057010
0.009364,-0.013187,-0.005088,0.000148,0.000278,0.000204,0.000000,0.000000,0.000000,0.000000,0.000801,-0.057496,0.000000,0.056869
0.009334,-0.013239,-0.005159,0.000149,0.000274,0.000204,0.000000,0.000000,0.000000,0.000000,0.000846,-0.057352,0.000000,0.056751
0.009307,-0.013284,-0.005223,0.000148,0.000268,0.000203,0.000000,0.000000,0.000000,0.000000,0.000896,-0.057167,0.000000,0.056649
0.009278,-0.013333,-0.005292,0.000149,0.000267,0.000204,0.000000,0.000000,0.000000,0.000000,0.000941,-0.057020,0.000000,0.056565
0.009251,-0.013378,-0.005356,0.000149,0.000264,0.000202,0.000000,0.000000,0.000000,-0.000108,0.000981,-0.056853,0.000000,0.056447
0.009221,-0.013428,-0.005426,0.000151,0.000263,0.000199,0.000000,0.000000,0.000000,-0.000688,0.000989,-0.056741,0.000000,0.056316
0.009194,-0.013472,-0.005487,0.000151,0.000262,0.000195,0.000000,0.000000,0.000000,-0.001224,0.000871,-0.056598,0.000000,0.056131
0.009165,-0.013519,-0.005552,0.000151,0.000259,0.000190,0.000000,0.000000,0.000000,-0.001613,0.000818,-0.056574,0.000000,0.055981
0.009138,-0.013563,-0.005610,0.000151,0.000255,0.000187,0.000000,0.000000,0.000000,-0.002100,0.000766,-0.056460,0.000000,0.055856
0.009108,-0.013610,-0.005675,0.000151,0.000250,0.000184,0.000000,0.000000,0.000000,-0.002460,0.000690,-0.056379,0.000000,0.055736
0.009081,-0.013651,-0.005731,0.000151,0.000243,0.000180,0.000000,0.000000,0.000000,-0.002931,0.000647,-0.056266,0.000000,0.055643
0.009052,-0.013694,-0.005791,0.000151,0.000235,0.000176,0.000000,0.000000,0.000000,-0.003218,0.000557,-0.056165,0.000000,0.055563
0.009025,-0.013733,-0.005845,0.000152,0.000226,0.000171,0.000000,0.000000,0.000000,-0.003549,0.000516,-0.056089,0.000000,0.055510
0.414489,0.278757,0.171875,0.000151,0.000217,0.000162,0.000000,0.000000,0.000000,-0.003790,0.000426,-0.055991,0.000000,0.055458
0.414524,0.278621,0.171803,0.000202,0.000299,0.000300,0.000000,1.000000,0.000000,0.000000,1.000000,-0.233536,1.000000,1.000000
0.414838,0.277632,0.171220,0.001769,0.002017,0.002613,0.000000,1.000000,0.000000,0.000000,0.505271,-0.246879,0.631083,0.750655
0.415734,0.273479,0.168954,0.008316,0.009208,0.008622,0.000000,1.000000,0.000000,0.000000,0.733968,-0.294520,0.979600,1.000000
0.416891,0.264618,0.164377,0.020216,0.021178,0.016765,0.000000,1.000000,0.000000,0.000000,0.613899,-0.243758,0.578608,0.840849
0.417353,0.247855,0.156546,0.037362,0.041572,0.024377,0.000000,0.881044,0.000000,0.000000,0.703827,-0.203002,0.730837,0.878512
0.415789,0.226533,0.147387,0.057243,0.062208,0.030729,0.000000,0.702905,0.000000,0.000000,0.691045,-0.231569,0.445117,0.630227
0.410572,0.197920,0.135781,0.081541,0.081536,0.035471,0.000000,0.192698,0.000000,0.000000,0.750840,-0.172758,0.578570,0.482603
0.401204,0.168380,0.124061,0.106890,0.090932,0.038053,0.000000,0.065548,0.000000,-0.107519,0.816541,-0.143359,0.515715,0.199654
0.384652,0.134474,0.110319,0.136152,0.091678,0.039555,0.000000,0.000000,0.000000,-0.515389,0.674309,-0.037892,0.494986,0.000000
0.364397,0.105533,0.098002,0.159912,0.085793,0.039131,0.000000,0.000000,0.000000,-0.671333,0.421230,-0.024218,0.480169,0.000000
0.337555,0.077473,0.085159,0.180187,0.074223,0.037588,0.000000,0.000000,0.000000,-0.653032,0.202369,-0.090089,0.288932,0.000000
0.309423,0.055354,0.073848,0.190662,0.060000,0.035514,0.000000,0.000000,0.000000,-0.522008,0.000000,-0.062258,0.145281,0.000000
0.275794,0.035422,0.062073,0.195499,0.044476,0.032890,0.000000,0.000000,0.000000,-0.365205,0.000000,-0.056235,0.000000,0.000000
0.244982,0.021729,0.052494,0.195586,0.031749,0.029926,-0.212418,0.000000,0.000000,-0.256173,0.000000,0.000000,0.000000,0.000000
0.211752,0.010577,0.043064,0.191884,0.021259,0.027420,-0.341137,0.000000,-0.124280,-0.155146,0.000000,0.000000,0.000000,0.000000
0.181614,0.002806,0.034842,0.185459,0.013661,0.025985,-0.417704,0.000000,-0.227531,-0.014397,0.000000,0.000000,0.000000,0.011352
0.149076,-0.003619,0.026037,0.177164,0.007533,0.024848,-0.475906,0.000000,-0.311512,0.000000,0.000000,0.000000,0.000000,0.052234
0.122557,-0.007487,0.018899,0.166103,0.003319,0.023235,-0.540708,0.000000,-0.387331,0.000000,0.000000,0.000000,0.000000,0.081879
0.093609,-0.010373,0.011169,0.155744,-0.000372,0.021697,-0.535104,0.000000,-0.393932,0.000000,0.000000,0.000000,0.000000,0.093778
0.069842,-0.011782,0.004821,0.140599,-0.002568,0.019644,-0.616296,0.000000,-0.474628,0.000000,0.000000,0.000000,0.000000,0.125430
0.045850,-0.012345,-0.001551,0.127133,-0.004329,0.017617,-0.540416,0.000000,-0.416975,0.000000,0.000000,0.000000,0.000000,0.117784
0.026933,-0.012175,-0.006477,0.111979,-0.005164,0.015158,-0.615669,0.000000,-0.483901,0.000000,0.000000,0.000000,0.000000,0.152539
0.009280,-0.011532,-0.010897,0.096303,-0.005546,0.012448,-0.515350,0.000000,-0.407207,0.000000,0.000000,0.000000,0.000000,0.132373
-0.004513,-0.010713,-0.014117,0.080558,-0.005355,0.009582,-0.540603,0.000000,-0.427888,0.000000,0.000000,0.000000,0.000000,0.153499
-0.017131,-0.009742,-0.016705,0.065416,-0.004882,0.006678,-0.438837,0.000000,-0.347844,0.000000,0.000000,0.000000,0.000000,0.130615
-0.026057,-0.008955,-0.018132,0.051647,-0.004144,0.003929,-0.432678,0.000000,-0.344367,0.000000,0.000000,0.000000,0.000000,0.135235
-0.033459,-0.008282,-0.018791,0.039462,-0.003331,0.001378,-0.339227,0.000000,-0.270614,0.000000,0.000000,0.000000,0.000000,0.108945
-0.038515,-0.007859,-0.018670,0.028743,-0.002500,-0.000939,-0.318340,0.000000,-0.257082,0.000000,0.000000,0.000000,0.000000,0.100211
-0.042440,-0.007620,-0.017811,0.019628,-0.001728,-0.002913,-0.239323,0.000000,-0.195382,0.000000,0.000000,0.000000,0.000000,0.072345
-0.044676,-0.007594,-0.016514,0.012422,-0.001109,-0.004485,-0.214292,0.000000,-0.179387,0.000000,0.000000,0.000000,0.000000,0.056524
-0.046019,-0.007725,-0.014678,0.006687,-0.000633,-0.005696,-0.157211,0.000000,-0.135134,0.000000,0.000000,0.000000,0.000000,0.032605
-0.046486,-0.007954,-0.012682,0.002159,-0.000306,-0.006579,-0.135703,0.000000,-0.121328,0.000000,0.000000,0.000000,0.000000,0.017076
-0.046382,-0.008248,-0.010489,-0.001085,-0.000125,-0.007142,-0.095068,0.000000,-0.089414,0.000000,0.000000,0.000000,0.000000,0.000000
-0.045760,-0.008622,-0.007927,-0.003714,0.000078,-0.007314,-0.081227,0.029278,-0.080594,0.000000,0.000000,-0.006584,0.000000,0.000000
-0.044882,-0.008987,-0.005714,-0.005418,0.000370,-0.006973,-0.052553,0.028947,-0.056057,0.000000,0.000000,-0.038081,0.000000,0.000000
