x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.034543,0.026112,0.012033,0.013890,0.028017,0.008134,-0.201971,-0.092208,-0.506426,-0.367048,0.076584,-0.452600,0.371508,-0.216159
-0.035604,0.023266,0.009947,0.014673,0.036559,0.013036,-0.223741,0.046395,-0.563105,-0.387255,0.152762,-0.491985,0.475907,-0.329436
-0.036788,0.020369,0.008061,0.014520,0.034123,0.010872,-0.278731,0.181335,-0.559352,-0.409951,0.156850,-0.319297,0.372896,-0.211796
-0.037727,0.017065,0.006232,0.012578,0.041832,0.011430,-0.318836,0.337637,-0.622613,-0.415797,0.230214,-0.190592,0.176502,-0.112026
-0.038491,0.012924,0.004191,0.009619,0.048218,0.011785,-0.303869,0.303351,-0.694368,-0.326354,0.271533,-0.343127,0.012676,-0.052865
-0.038947,0.008632,0.001860,0.006566,0.054490,0.014581,-0.319147,0.387797,-0.788751,-0.218767,0.258823,-0.494028,-0.109763,0.041017
-0.039136,0.004222,-0.001460,0.003090,0.052886,0.019144,-0.348269,0.436973,-0.725015,-0.236814,0.157937,-0.503538,0.111988,0.000360
-0.038954,0.000446,-0.005118,-0.001558,0.050295,0.022854,-0.381790,0.490528,-0.635256,-0.243567,0.126317,-0.467822,0.215020,-0.016513
-0.038428,-0.002443,-0.009531,-0.005665,0.037664,0.025452,-0.362493,0.536122,-0.554743,-0.206749,0.294668,-0.352411,0.112789,-0.057809
-0.037646,-0.004048,-0.013449,-0.009633,0.024742,0.024493,-0.336695,0.572570,-0.445466,-0.149817,0.423514,-0.304073,0.037032,-0.077761
-0.036393,-0.005489,-0.017369,-0.014296,0.020942,0.022621,-0.343611,0.524598,-0.174073,-0.166774,0.409856,-0.346147,-0.035391,0.029435
-0.034969,-0.006780,-0.020291,-0.017531,0.019345,0.018261,-0.314370,0.409508,0.028319,-0.143694,0.386858,-0.364099,-0.091202,0.104003
-0.033247,-0.008179,-0.022407,-0.019408,0.017934,0.012211,-0.235015,0.359447,0.026306,-0.064928,0.453647,-0.412635,0.022132,-0.024230
-0.031768,-0.009880,-0.024245,-0.018161,0.022533,0.011482,-0.160292,0.313870,-0.028736,0.013159,0.465233,-0.481760,0.150038,-0.139180
-0.030190,-0.011940,-0.025539,-0.017791,0.024072,0.007468,-0.105674,0.269210,-0.069649,0.109382,0.439837,-0.403335,0.080492,-0.085587
-0.028786,-0.014188,-0.026113,-0.016958,0.027390,0.003588,-0.121229,0.332301,-0.086355,0.092563,0.428068,-0.296667,0.052652,-0.046088
-0.027130,-0.017199,-0.025907,-0.015684,0.028493,-0.001032,-0.124936,0.305109,-0.114506,0.124752,0.352041,-0.402656,0.083436,-0.015057
-0.025737,-0.019957,-0.024858,-0.014688,0.029342,-0.006050,-0.099609,0.302126,-0.289565,0.235814,0.358795,-0.496362,-0.033387,0.025918
-0.024575,-0.022847,-0.023825,-0.013062,0.033403,-0.006457,-0.059076,0.254067,-0.407329,0.300429,0.336822,-0.462685,0.039559,-0.025645
-0.023326,-0.025724,-0.022099,-0.012361,0.030160,-0.009959,-0.066020,0.175815,-0.422012,0.329893,0.176068,-0.477327,0.142702,0.015935
-0.022260,-0.028472,-0.020486,-0.011129,0.031304,-0.010079,-0.100550,0.226352,-0.427378,0.316068,0.146755,-0.478110,0.142375,0.043106
-0.021112,-0.031272,-0.018399,-0.010566,0.029191,-0.012046,-0.061412,0.154688,-0.456361,0.355037,0.163000,-0.468774,0.225521,-0.033824
-0.019987,-0.034279,-0.016338,-0.010967,0.034152,-0.012872,-0.057339,0.160214,-0.527714,0.385179,0.183942,-0.476834,0.194413,-0.036012
-0.018616,-0.036926,-0.014513,-0.012911,0.027845,-0.010536,-0.050421,0.137341,-0.515333,0.388495,0.158699,-0.454011,0.201570,-0.020986
-0.017249,-0.039155,-0.012913,-0.014052,0.025427,-0.010001,-0.054985,0.176386,-0.578709,0.437856,0.122623,-0.476195,0.210508,-0.007031
-0.015814,-0.041375,-0.011547,-0.013926,0.023585,-0.007879,-0.060145,0.153804,-0.423590,0.412233,0.139259,-0.473231,0.241624,-0.024704
-0.014662,-0.043253,-0.010861,-0.012648,0.021954,-0.004285,-0.064556,0.118616,-0.347616,0.431353,0.129036,-0.447092,0.234337,-0.009201
-0.013652,-0.045154,-0.010679,-0.010830,0.020791,-0.001053,-0.048564,0.148498,-0.347131,0.416295,0.189977,-0.429710,0.235684,-0.039602
-0.012915,-0.046507,-0.010775,-0.008931,0.016159,0.000599,-0.076732,0.186674,-0.259595,0.335265,0.214166,-0.443479,0.294599,-0.065726
-0.012421,-0.047834,-0.011327,-0.006318,0.014826,0.003188,-0.118939,0.227978,-0.197368,0.259120,0.228665,-0.429363,0.231702,-0.026059
-0.012222,-0.048641,-0.012214,-0.003956,0.010027,0.005546,-0.110595,0.221303,-0.198772,0.221618,0.305408,-0.379225,0.155429,-0.037587
-0.012227,-0.049183,-0.013515,-0.002131,0.006511,0.007506,-0.130997,0.248660,-0.210972,0.162335,0.334282,-0.407123,0.151832,-0.054403
-0.012371,-0.048323,-0.015716,-0.002329,-0.009209,0.013751,-0.180095,0.248671,-0.098007,0.046080,0.297623,-0.444203,0.160655,-0.018027
-0.012727,-0.046928,-0.017972,0.000159,-0.014364,0.013017,-0.203448,0.245130,-0.035702,-0.026411,0.305736,-0.406364,0.150822,-0.012001
-0.013285,-0.045996,-0.020263,0.002618,-0.009981,0.014318,-0.218987,0.173478,0.273691,-0.191835,0.392248,-0.332352,0.217639,-0.097597
-0.013831,-0.044703,-0.022437,0.002554,-0.013199,0.012542,-0.213877,0.127436,0.273864,-0.240580,0.411274,-0.354538,0.204722,-0.114172
-0.014400,-0.042839,-0.023566,0.004890,-0.021607,0.007054,-0.176300,0.255425,0.056571,-0.258245,0.546617,-0.371337,0.125838,-0.202257
-0.015045,-0.040375,-0.024228,0.006107,-0.026747,0.003823,-0.161827,0.215649,0.079701,-0.274848,0.522867,-0.364120,0.172289,-0.224451
-0.015745,-0.038140,-0.024678,0.007663,-0.026370,0.002810,-0.176433,0.057114,0.109597,-0.268587,0.355015,-0.322902,0.015301,-0.004259
-0.016575,-0.036182,-0.025122,0.008527,-0.021272,0.002561,-0.149748,-0.026072,0.100122,-0.275104,0.348134,-0.309993,0.008877,-0.014655
-0.017506,-0.034537,-0.025659,0.010358,-0.019244,0.003355,-0.160859,-0.074580,0.126456,-0.358149,0.297785,-0.495736,0.310511,-0.190934
-0.018562,-0.032321,-0.025792,0.011443,-0.024273,0.000767,-0.174534,-0.021608,0.082683,-0.388663,0.270620,-0.526382,0.380048,-0.219224
-0.019525,-0.030185,-0.025749,0.011526,-0.025456,-0.000269,-0.146347,0.044366,-0.002558,-0.415126,0.384318,-0.259933,0.354863,-0.297249
-0.020639,-0.027290,-0.024992,0.013020,-0.032314,-0.004366,-0.125304,-0.044621,-0.020894,-0.394945,0.389239,-0.195369,0.274782,-0.268669
-0.034078,0.003975,0.006278,0.010081,-0.020186,-0.017431,-0.013573,-0.429417,-0.252665,-0.287336,0.074160,-0.344052,0.412990,-0.248027
-0.035050,0.005142,0.009085,0.010312,-0.016122,-0.016190,-0.010493,-0.415661,-0.362112,-0.244264,0.092724,-0.504820,0.444620,-0.309215
-0.035924,0.005871,0.011151,0.010014,-0.011396,-0.012925,-0.036184,-0.438829,-0.377795,-0.276849,0.000462,-0.433204,0.487957,-0.261665
-0.036798,0.006261,0.012643,0.009307,-0.006146,-0.008609,-0.061494,-0.411146,-0.381056,-0.301326,-0.055994,-0.302341,0.536694,-0.237456
-0.037545,0.006559,0.013532,0.008696,-0.004772,-0.005556,-0.081639,-0.327311,-0.395252,-0.312771,0.014593,-0.351643,0.555319,-0.298815
-0.038389,0.006087,0.013376,0.009304,0.005391,0.000899,-0.113813,-0.217321,-0.399171,-0.315010,0.107242,-0.415944,0.484185,-0.306151
-0.039091,0.005487,0.012921,0.008460,0.007799,0.002848,-0.132541,-0.172510,-0.381170,-0.322420,0.125844,-0.338316,0.408026,-0.251265
-0.039950,0.004615,0.011847,0.009654,0.011034,0.006196,-0.191173,-0.011827,-0.422989,-0.361078,0.143421,-0.299875,0.367962,-0.208024
-0.040696,0.003457,0.010483,0.009116,0.015821,0.008522,-0.207848,0.036065,-0.424156,-0.351060,0.164364,-0.382670,0.333519,-0.194966
-0.041392,0.002008,0.008890,0.007853,0.018162,0.009195,-0.243624,0.100290,-0.462300,-0.348509,0.217532,-0.394236,0.187261,-0.131472
-0.041914,0.000494,0.007267,0.006340,0.020542,0.010146,-0.260032,0.163003,-0.479889,-0.354691,0.223870,-0.352844,0.208575,-0.136500
-0.042318,-0.001152,0.005432,0.004470,0.020736,0.010586,-0.275876,0.181811,-0.466475,-0.334180,0.182753,-0.410383,0.243034,-0.114480
-0.042583,-0.002737,0.003477,0.003089,0.021957,0.012212,-0.275027,0.229316,-0.484597,-0.287207,0.228878,-0.411127,0.151974,-0.082574
-0.042640,-0.004181,0.001125,0.000415,0.019338,0.013579,-0.260260,0.230872,-0.461117,-0.261401,0.268900,-0.368272,0.172822,-0.120487
-0.042495,-0.005297,-0.001236,-0.002076,0.017039,0.014745,-0.284490,0.254285,-0.396390,-0.269661,0.242070,-0.395766,0.180401,-0.081708
-0.042153,-0.006451,-0.004156,-0.004276,0.016968,0.016842,-0.284663,0.267160,-0.287982,-0.262987,0.264506,-0.388812,0.145702,-0.052141
-0.041732,-0.007649,-0.007189,-0.005724,0.019049,0.018963,-0.262422,0.259131,-0.228639,-0.238146,0.324992,-0.369427,0.159154,-0.099655
-0.041128,-0.009010,-0.010245,-0.007428,0.019366,0.017634,-0.254289,0.292775,-0.182311,-0.230834,0.371839,-0.384120,0.162310,-0.123330
-0.040617,-0.009953,-0.012514,-0.006826,0.014722,0.014178,-0.263349,0.362482,-0.138503,-0.239460,0.398312,-0.370920,0.137313,-0.102494
-0.040130,-0.010974,-0.014708,-0.006092,0.014283,0.012649,-0.234649,0.363570,-0.170002,-0.177678,0.414897,-0.349651,0.078014,-0.078541
-0.039733,-0.011887,-0.016508,-0.005467,0.013592,0.011261,-0.198425,0.278212,-0.224478,-0.121922,0.416215,-0.362796,-0.014762,-0.040858
-0.039272,-0.012398,-0.018228,-0.005759,0.007976,0.009922,-0.215289,0.253124,-0.199260,-0.137967,0.360874,-0.406279,-0.002388,0.000161
-0.039058,-0.013059,-0.019985,-0.003357,0.010449,0.010984,-0.244229,0.230248,-0.114946,-0.203016,0.264783,-0.461289,0.149215,-0.013663
-0.038913,-0.013944,-0.021895,-0.002449,0.012309,0.011018,-0.219343,0.159918,-0.057808,-0.209174,0.281104,-0.442585,0.214126,-0.074869
-0.038784,-0.014941,-0.023438,-0.002331,0.014114,0.009641,-0.201110,0.220274,-0.156456,-0.226119,0.399895,-0.360309,0.204967,-0.173480
-0.040541,-0.026245,-0.028884,0.008880,0.029113,0.009778,-0.289963,0.381017,-0.295284,-0.369795,0.286072,-0.410448,0.426302,-0.213717
-0.041547,-0.028654,-0.030073,0.009989,0.028155,0.006863,-0.352967,0.590218,-0.358819,-0.429331,0.397076,-0.316891,0.244666,-0.151918
-0.042528,-0.031264,-0.031049,0.010630,0.032584,0.006100,-0.260677,0.502729,-0.629043,-0.237174,0.508834,-0.232851,-0.161104,-0.043344
-0.043507,-0.034343,-0.031514,0.010248,0.034488,0.002676,-0.245914,0.443160,-0.763800,-0.125642,0.453980,-0.337824,-0.350038,0.097254
-0.044032,-0.038279,-0.030502,0.007563,0.045263,-0.006330,-0.379234,0.466961,-0.563221,-0.272485,0.156178,-0.575020,-0.089185,0.199218
-0.044200,-0.042825,-0.028329,0.004722,0.046663,-0.012538,-0.398830,0.426261,-0.494199,-0.303005,0.036528,-0.636918,0.171011,0.123896
-0.043988,-0.046235,-0.025332,0.002306,0.035655,-0.018724,-0.213382,0.414506,-1.000000,0.012430,0.253211,-0.521724,0.173421,-0.118704
