x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.022299,0.015242,0.013345,-0.002213,-0.006766,0.004998,-0.089053,-0.147188,-0.053285,-0.187217,0.223915,-0.353562,0.320853,-0.214856
-0.022037,0.015900,0.012478,-0.002423,-0.006568,0.005005,-0.087870,-0.144901,-0.046496,-0.185430,0.227835,-0.353393,0.317792,-0.214433
-0.021776,0.016490,0.011682,-0.002622,-0.006362,0.004975,-0.086735,-0.143142,-0.040510,-0.183116,0.230485,-0.352900,0.315305,-0.213453
-0.021476,0.017109,0.010828,-0.002819,-0.006168,0.004930,-0.085328,-0.141618,-0.034262,-0.180665,0.233257,-0.352201,0.312793,-0.212562
-0.021181,0.017663,0.010050,-0.003007,-0.005972,0.004862,-0.083731,-0.140443,-0.029230,-0.177571,0.235882,-0.352090,0.310778,-0.212112
-0.020845,0.018245,0.009221,-0.003189,-0.005780,0.004783,-0.082033,-0.139469,-0.023630,-0.174449,0.238469,-0.352029,0.308729,-0.211584
-0.020519,0.018764,0.008469,-0.003366,-0.005601,0.004701,-0.080376,-0.138765,-0.018615,-0.171118,0.240289,-0.351589,0.307120,-0.210786
-0.020151,0.019308,0.007671,-0.003532,-0.005418,0.004606,-0.078548,-0.138190,-0.013386,-0.167732,0.242236,-0.351114,0.305664,-0.210198
-0.019797,0.019795,0.006948,-0.003689,-0.005242,0.004510,-0.076758,-0.137734,-0.008471,-0.164209,0.244184,-0.350986,0.304372,-0.209813
-0.019399,0.020304,0.006183,-0.003845,-0.005079,0.004419,-0.074901,-0.137286,-0.003464,-0.160661,0.246161,-0.350741,0.302937,-0.209348
-0.019020,0.020759,0.005491,-0.003986,-0.004912,0.004321,-0.073049,-0.136932,0.000901,-0.157050,0.247814,-0.350344,0.301719,-0.208845
-0.018597,0.021236,0.004758,-0.004124,-0.004756,0.004229,-0.071260,-0.136597,0.006216,-0.153604,0.249550,-0.349931,0.300573,-0.208342
-0.018196,0.021661,0.004096,-0.004248,-0.004601,0.004135,-0.069558,-0.136304,0.010642,-0.150084,0.251024,-0.349756,0.299380,-0.207758
-0.017751,0.022106,0.003395,-0.004371,-0.004455,0.004049,-0.067699,-0.135927,0.015432,-0.146564,0.252980,-0.349449,0.298108,-0.207449
-0.017330,0.022503,0.002762,-0.004476,-0.004305,0.003955,-0.065998,-0.135666,0.019658,-0.143116,0.254446,-0.349195,0.297194,-0.207080
-0.016866,0.022919,0.002091,-0.004581,-0.004165,0.003870,-0.064341,-0.135302,0.024637,-0.139794,0.256013,-0.348806,0.295958,-0.206461
-0.016430,0.023288,0.001486,-0.004670,-0.004020,0.003778,-0.062732,-0.134976,0.028627,-0.136454,0.257450,-0.348493,0.294862,-0.205982
-0.015950,0.023675,0.000846,-0.004762,-0.003887,0.003696,-0.061032,-0.134603,0.033062,-0.133085,0.259198,-0.348303,0.293707,-0.205677
-0.015502,0.024018,0.000270,-0.004824,-0.003739,0.003596,-0.059521,-0.134293,0.036831,-0.129818,0.260476,-0.348160,0.292651,-0.205153
-0.015010,0.024376,-0.000338,-0.004902,-0.003609,0.003512,-0.057979,-0.133915,0.041355,-0.126592,0.261901,-0.347746,0.291529,-0.204585
-0.014552,0.024693,-0.000884,-0.004951,-0.003465,0.003410,-0.056503,-0.133657,0.044378,-0.123368,0.263001,-0.347615,0.290571,-0.204100
-0.014052,0.025022,-0.001458,-0.005005,-0.003329,0.003313,-0.054923,-0.133283,0.048373,-0.120026,0.264565,-0.347487,0.289411,-0.203728
-0.013589,0.025312,-0.001971,-0.005040,-0.003185,0.003205,-0.053589,-0.133066,0.051361,-0.116879,0.265409,-0.347361,0.288593,-0.203160
-0.013084,0.025612,-0.002507,-0.005072,-0.003043,0.003094,-0.052101,-0.132799,0.054660,-0.113579,0.266474,-0.347151,0.287498,-0.202522
-0.012618,0.025874,-0.002983,-0.005088,-0.002895,0.002973,-0.050708,-0.132644,0.056997,-0.110301,0.267326,-0.347114,0.286734,-0.202099
-0.012113,0.026144,-0.003477,-0.005110,-0.002752,0.002853,-0.049278,-0.132502,0.059619,-0.106931,0.268155,-0.347171,0.285839,-0.201556
-0.011648,0.026379,-0.003912,-0.005110,-0.002600,0.002719,-0.047975,-0.132474,0.061405,-0.103644,0.268567,-0.347163,0.285106,-0.200891
-0.011146,0.026618,-0.004360,-0.005113,-0.002449,0.002583,-0.046565,-0.132467,0.063620,-0.100167,0.269075,-0.347092,0.284505,-0.200350
-0.010685,0.026825,-0.004749,-0.005094,-0.002290,0.002433,-0.045267,-0.132602,0.064745,-0.096764,0.269241,-0.347287,0.284047,-0.199813
-0.010190,0.027032,-0.005145,-0.005083,-0.002134,0.002283,-0.043842,-0.132715,0.066035,-0.093124,0.269570,-0.347401,0.283403,-0.199245
-0.009736,0.027208,-0.005485,-0.005050,-0.001969,0.002121,-0.042574,-0.133002,0.066378,-0.089661,0.269366,-0.347531,0.283123,-0.198646
-0.009250,0.027383,-0.005824,-0.005028,-0.001808,0.001959,-0.041237,-0.133314,0.067119,-0.085948,0.269134,-0.347729,0.282786,-0.197946
-0.008807,0.027529,-0.006110,-0.004987,-0.001640,0.001787,-0.040019,-0.133742,0.066863,-0.082368,0.268621,-0.348036,0.282665,-0.197328
-0.008332,0.027671,-0.006389,-0.004943,-0.001471,0.001612,-0.038638,-0.134201,0.066847,-0.078452,0.268223,-0.348307,0.282600,-0.196814
-0.007901,0.027786,-0.006619,-0.004900,-0.001303,0.001436,-0.037424,-0.134780,0.066000,-0.074734,0.267401,-0.348621,0.282751,-0.196231
-0.007441,0.027895,-0.006837,-0.004852,-0.001133,0.001259,-0.036150,-0.135380,0.065169,-0.070844,0.266550,-0.348911,0.282750,-0.195506
-0.007022,0.027980,-0.007010,-0.004795,-0.000962,0.001079,-0.034957,-0.136043,0.064016,-0.066979,0.265534,-0.349247,0.283047,-0.194926
-0.006577,0.028055,-0.007166,-0.004748,-0.000794,0.000903,-0.033741,-0.136751,0.062817,-0.062978,0.264419,-0.349708,0.283390,-0.194331
-0.006172,0.028110,-0.007283,-0.004689,-0.000626,0.000728,-0.032608,-0.137502,0.060981,-0.059148,0.263175,-0.350132,0.283747,-0.193700
-0.005742,0.028154,-0.007379,-0.004637,-0.000459,0.000557,-0.031381,-0.138248,0.059447,-0.055007,0.261956,-0.350440,0.284246,-0.193161
-0.005351,0.028180,-0.007442,-0.004581,-0.000295,0.000391,-0.030345,-0.139027,0.057471,-0.051176,0.260474,-0.350891,0.284851,-0.192565
-0.004936,0.028193,-0.007482,-0.004532,-0.000133,0.000232,-0.029229,-0.139760,0.055639,-0.047079,0.259113,-0.351321,0.285276,-0.191898
-0.004559,0.028191,-0.007495,-0.004476,0.000026,0.000079,-0.028208,-0.140489,0.053460,-0.043191,0.257684,-0.351713,0.285935,-0.191397
-0.004157,0.028174,-0.007484,-0.004424,0.000182,-0.000065,-0.027151,-0.141205,0.051494,-0.039086,0.256209,-0.352177,0.286569,-0.190819
-0.003792,0.028145,-0.007451,-0.004381,0.000335,-0.000201,-0.026253,-0.141854,0.049304,-0.035296,0.254700,-0.352583,0.287153,-0.190190
-0.003402,0.028101,-0.007395,-0.004334,0.000484,-0.000328,-0.025310,-0.142467,0.047265,-0.031346,0.253247,-0.352948,0.287775,-0.189608
-0.003048,0.028047,-0.007323,-0.004286,0.000628,-0.000445,-0.024421,-0.143005,0.045129,-0.027459,0.251832,-0.353399,0.288429,-0.189106
-0.002670,0.027976,-0.007228,-0.004257,0.000771,-0.000552,-0.023557,-0.143463,0.043119,-0.023532,0.250463,-0.353826,0.288975,-0.188538
-0.002325,0.027899,-0.007124,-0.004210,0.000905,-0.000647,-0.022841,-0.143868,0.041110,-0.019954,0.249053,-0.354148,0.289530,-0.187901
-0.001956,0.027804,-0.006997,-0.004180,0.001038,-0.000733,-0.021994,-0.144167,0.039319,-0.015905,0.247768,-0.354508,0.290055,-0.187335
-0.001619,0.027705,-0.006868,-0.004144,0.001165,-0.000806,-0.021385,-0.144369,0.037394,-0.012512,0.246570,-0.354943,0.290543,-0.186825
-0.001258,0.027587,-0.006718,-0.004111,0.001286,-0.000870,-0.020695,-0.144512,0.035822,-0.008740,0.245388,-0.355284,0.290920,-0.186156
-0.000928,0.027469,-0.006570,-0.004079,0.001403,-0.000922,-0.020143,-0.144508,0.034164,-0.005371,0.244308,-0.355552,0.291321,-0.185616
-0.000574,0.027330,-0.006403,-0.004056,0.001518,-0.000966,-0.019581,-0.144447,0.032729,-0.001887,0.243313,-0.355925,0.291654,-0.185045
