x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
0.006545,-0.004440,-0.014594,0.000342,0.000710,-0.000130,-0.065355,-0.006445,-0.002295,0.018141,0.286369,-0.374409,0.235133,-0.137887
0.006514,-0.004501,-0.014571,0.000338,0.000680,-0.000137,-0.065318,-0.006604,-0.002374,0.018113,0.286288,-0.374439,0.235261,-0.137940
0.006487,-0.004555,-0.014548,0.000333,0.000649,-0.000143,-0.065273,-0.006793,-0.002389,0.018073,0.286199,-0.374445,0.235401,-0.137998
0.006457,-0.004611,-0.014522,0.000328,0.000618,-0.000148,-0.065234,-0.006962,-0.002460,0.018033,0.286113,-0.374454,0.235531,-0.138054
0.006430,-0.004660,-0.014498,0.000323,0.000587,-0.000153,-0.065181,-0.007151,-0.002483,0.017988,0.286051,-0.374462,0.235663,-0.138133
0.006402,-0.004710,-0.014470,0.000318,0.000557,-0.000158,-0.065139,-0.007341,-0.002519,0.017943,0.285968,-0.374475,0.235788,-0.138192
0.006376,-0.004753,-0.014444,0.000313,0.000526,-0.000162,-0.065090,-0.007539,-0.002531,0.017889,0.285887,-0.374473,0.235907,-0.138251
0.006348,-0.004798,-0.014415,0.000307,0.000497,-0.000167,-0.065043,-0.007736,-0.002561,0.017837,0.285803,-0.374482,0.236049,-0.138325
0.006323,-0.004837,-0.014388,0.000302,0.000467,-0.000171,-0.064990,-0.007950,-0.002537,0.017782,0.285727,-0.374490,0.236187,-0.138404
0.006297,-0.004876,-0.014358,0.000296,0.000437,-0.000175,-0.064937,-0.008159,-0.002556,0.017733,0.285646,-0.374486,0.236315,-0.138477
0.006273,-0.004910,-0.014329,0.000290,0.000408,-0.000179,-0.064871,-0.008383,-0.002546,0.017685,0.285575,-0.374476,0.236450,-0.138565
0.006248,-0.004943,-0.014297,0.000284,0.000379,-0.000182,-0.064816,-0.008610,-0.002549,0.017635,0.285483,-0.374483,0.236585,-0.138638
0.006225,-0.004972,-0.014268,0.000278,0.000349,-0.000185,-0.064754,-0.008847,-0.002501,0.017581,0.285400,-0.374477,0.236715,-0.138712
