x,y,phi,u,v,r,n1,n2,n3,n4,alpha1,alpha2,alpha3,alpha4
-0.008138,0.106425,-0.033894,0.035905,-0.008154,-0.021763,-0.078273,-0.580763,-0.296869,-0.626905,0.150979,-0.373498,0.342071,-0.325599
-0.012660,0.107088,-0.029885,0.034988,-0.008518,-0.023142,-0.121712,-0.635695,-0.289934,-0.657126,-0.022598,-0.353519,0.378852,-0.219539
-0.016762,0.107150,-0.026031,0.033398,-0.002656,-0.024072,-0.118387,-0.623566,-0.225776,-0.697044,-0.108183,-0.359780,0.603579,-0.300199
-0.021171,0.106873,-0.021139,0.030378,0.000082,-0.028235,-0.083434,-0.666916,-0.313338,-0.665060,-0.067880,-0.401964,0.689646,-0.411756
-0.025268,0.105932,-0.016543,0.030422,0.007426,-0.028713,-0.040263,-0.602401,-0.526766,-0.583609,0.046858,-0.315987,0.557372,-0.431198
-0.029664,0.103674,-0.010638,0.026758,0.019458,-0.034070,-0.007770,-0.604802,-0.634023,-0.491000,0.004718,-0.271886,0.532483,-0.392589
-0.033440,0.101646,-0.004842,0.022545,0.017511,-0.036218,-0.071666,-0.561296,-0.690961,-0.488720,-0.132594,-0.367009,0.451068,-0.231571
-0.037239,0.099737,0.001453,0.019731,0.013495,-0.036343,-0.037148,-0.521133,-0.947285,-0.313462,-0.190292,-0.456635,0.426894,-0.199975
-0.040174,0.097625,0.006395,0.016560,0.018107,-0.030866,0.017719,-0.630999,-0.994006,-0.187299,-0.210573,-0.471718,0.537011,-0.294654
-0.042529,0.095525,0.010295,0.012760,0.017591,-0.022499,-0.027878,-0.719203,-0.813783,-0.207100,-0.330392,-0.411514,0.583439,-0.205686
-0.043706,0.094223,0.011877,0.008375,0.012965,-0.009892,-0.075984,-0.594604,-0.692552,-0.275543,-0.325066,-0.351958,0.667725,-0.203345
-0.044386,0.093062,0.012060,0.006881,0.012491,-0.001055,-0.072628,-0.520273,-0.570479,-0.316490,-0.185659,-0.393444,0.788348,-0.364222
-0.044411,0.092498,0.010610,0.005341,0.009105,0.009052,-0.121318,-0.425357,-0.307878,-0.405699,0.001312,-0.335852,0.666493,-0.380960
-0.043812,0.092477,0.007513,0.003330,0.004933,0.017886,-0.168388,-0.287494,-0.169722,-0.506347,0.116620,-0.191144,0.532672,-0.330454
-0.042850,0.092086,0.004111,0.000345,0.010157,0.021237,-0.201193,-0.185876,-0.001384,-0.608654,0.217717,-0.208243,0.470623,-0.327320
-0.041469,0.091214,0.000083,-0.002336,0.015474,0.023263,-0.243656,-0.101596,0.195245,-0.678486,0.321323,-0.282478,0.322448,-0.285427
-0.040029,0.090003,-0.003411,-0.005188,0.019772,0.021841,-0.212362,0.019182,0.107255,-0.594336,0.422804,-0.263077,0.205157,-0.298796
-0.038211,0.088611,-0.006882,-0.009171,0.020029,0.020017,-0.175211,0.100809,0.004114,-0.511240,0.469517,-0.264633,0.200596,-0.334802
-0.036377,0.087337,-0.009729,-0.012379,0.019194,0.017799,-0.180747,0.117549,-0.009342,-0.413622,0.396051,-0.294616,0.092738,-0.189431
-0.034368,0.085637,-0.012127,-0.014836,0.021663,0.013835,-0.169524,0.103192,0.050274,-0.314883,0.361677,-0.260584,-0.011241,-0.076300
-0.032416,0.084544,-0.013874,-0.017644,0.015253,0.010917,-0.150463,0.025540,0.109271,-0.251514,0.333705,-0.331256,0.102457,-0.122757
-0.030269,0.083512,-0.015130,-0.019916,0.012730,0.007249,-0.109416,-0.014883,0.046515,-0.144558,0.307680,-0.448671,0.167900,-0.153255
-0.028244,0.082127,-0.015513,-0.022904,0.016922,0.002391,-0.048755,-0.096357,0.134566,-0.095188,0.335270,-0.363628,0.227192,-0.208380
-0.025988,0.081089,-0.015789,-0.024013,0.011674,0.001593,-0.013408,-0.175389,0.198057,-0.039912,0.287003,-0.266621,0.288071,-0.206668
-0.023909,0.079624,-0.015911,-0.024374,0.017554,0.000760,0.052018,-0.153187,0.065735,0.102043,0.304577,-0.323612,0.235815,-0.206027
-0.021666,0.077544,-0.015910,-0.024643,0.022854,-0.000004,0.067439,-0.194384,0.173649,0.097265,0.334120,-0.368664,0.243396,-0.227765
-0.019581,0.075490,-0.015963,-0.024672,0.024499,0.000328,0.032548,-0.172901,0.193565,0.113540,0.227978,-0.347350,0.263039,-0.138750
-0.017314,0.072830,-0.016323,-0.023991,0.029485,0.002081,0.064488,-0.106522,0.061813,0.162054,0.250955,-0.333970,0.280814,-0.182310
-0.015239,0.069831,-0.016495,-0.024222,0.035801,0.001074,0.079012,-0.087194,0.022343,0.210322,0.316970,-0.364804,0.286695,-0.238909
-0.013075,0.064869,-0.015458,-0.026274,0.053969,-0.005978,0.025859,-0.014029,0.050388,0.207385,0.292512,-0.338892,0.202623,-0.140548
-0.011110,0.059877,-0.014392,-0.025978,0.058913,-0.006667,0.024058,0.048686,-0.028624,0.265923,0.265514,-0.317265,0.174431,-0.091368
-0.009061,0.054659,-0.013160,-0.025060,0.056859,-0.007105,0.117238,0.149210,-0.523279,0.585058,0.291566,-0.453037,0.114459,-0.125308
-0.007337,0.050417,-0.011608,-0.023692,0.049962,-0.009702,0.104559,0.184381,-0.596571,0.649372,0.278004,-0.493232,0.069387,-0.085612
-0.005529,0.045650,-0.009826,-0.022981,0.051941,-0.010283,-0.022774,0.088069,-0.276142,0.566906,0.021842,-0.394685,0.094019,0.118446
-0.003902,0.041751,-0.008504,-0.021612,0.046114,-0.008259,-0.016371,-0.018936,-0.228033,0.575798,-0.035814,-0.398559,0.120024,0.133240
-0.002149,0.038189,-0.008002,-0.020005,0.039102,-0.002896,0.071491,0.011346,-0.442949,0.661257,0.124719,-0.524268,0.284166,-0.074071
-0.000763,0.035112,-0.008057,-0.016413,0.036641,0.000342,0.059079,0.002334,-0.317467,0.567085,0.126427,-0.514775,0.412347,-0.139566
0.000470,0.033053,-0.009051,-0.012347,0.022651,0.005732,-0.040240,0.010485,0.020703,0.388817,0.092233,-0.308224,0.311595,-0.009941
0.001298,0.032026,-0.010526,-0.008037,0.012187,0.009220,-0.053342,0.067488,0.015965,0.299606,0.201713,-0.241960,0.246379,-0.037207
0.001941,0.031124,-0.012922,-0.004412,0.009801,0.013826,-0.054265,0.047096,0.094891,0.167885,0.355325,-0.396592,0.242946,-0.142183
0.002285,0.030385,-0.015592,-0.000992,0.008581,0.016677,-0.116814,0.001623,0.264888,0.006795,0.343425,-0.417907,0.170370,-0.073337
0.002490,0.029612,-0.018812,0.001127,0.008228,0.018591,-0.149839,0.066710,0.318742,-0.158380,0.354071,-0.284676,0.205962,-0.100575
0.002625,0.028787,-0.021872,0.001778,0.009526,0.019115,-0.148161,0.118541,0.259179,-0.255927,0.419562,-0.320205,0.305683,-0.236283
0.002809,0.028440,-0.025514,0.001592,0.003458,0.021013,-0.163320,0.185651,0.205797,-0.273733,0.519582,-0.357423,0.143985,-0.225676
0.003010,0.028499,-0.029078,0.001406,-0.001092,0.022279,-0.168794,0.248597,0.178166,-0.265914,0.549490,-0.237909,0.016971,-0.165777
0.003267,0.028893,-0.033090,0.001111,-0.004780,0.023142,-0.207156,0.197665,0.351370,-0.338420,0.460611,-0.242208,0.064972,-0.096230
0.003431,0.029321,-0.036484,0.001721,-0.005528,0.021213,-0.245510,0.158598,0.488460,-0.384032,0.418445,-0.341311,0.030992,-0.023923
0.003502,0.029469,-0.039989,0.002766,-0.002059,0.020213,-0.208941,0.152141,0.501082,-0.401033,0.538776,-0.343294,0.089509,-0.174166
0.003434,0.029542,-0.042840,0.003946,-0.001252,0.017820,-0.162798,0.118469,0.407148,-0.388718,0.565962,-0.333367,0.196497,-0.290071
0.003178,0.029339,-0.045338,0.005364,0.001920,0.014412,-0.167966,0.184088,0.352906,-0.391957,0.555577,-0.275246,0.111664,-0.217814
0.002712,0.029427,-0.047010,0.007374,-0.001250,0.010447,-0.173531,0.203603,0.355466,-0.396723,0.536493,-0.216345,0.051297,-0.156875
0.002110,0.029972,-0.048637,0.008268,-0.006146,0.009391,-0.172854,0.183143,0.235212,-0.345219,0.500261,-0.303416,-0.006239,-0.111548
0.001430,0.030611,-0.049879,0.009492,-0.007700,0.007764,-0.159377,0.098995,0.173978,-0.330634,0.465845,-0.383463,-0.026602,-0.095404
0.000538,0.031362,-0.050840,0.010809,-0.008306,0.005541,-0.183221,0.005754,0.304507,-0.400336,0.379662,-0.366697,0.113359,-0.098077
-0.000549,0.032394,-0.051041,0.013182,-0.012286,0.001253,-0.192104,-0.039101,0.353859,-0.461424,0.312972,-0.348343,0.261052,-0.141297
-0.001904,0.033636,-0.050067,0.013810,-0.013673,-0.005617,-0.137573,-0.033419,0.232447,-0.441615,0.424006,-0.337429,0.272484,-0.269626
-0.003234,0.035222,-0.048498,0.013853,-0.018997,-0.009805,-0.091145,-0.094461,0.127209,-0.419624,0.478833,-0.298835,0.218028,-0.313689
-0.004864,0.037314,-0.046033,0.014906,-0.023272,-0.014218,-0.065521,-0.182264,0.030770,-0.345170,0.360958,-0.285916,0.121332,-0.178802
-0.006457,0.038468,-0.042701,0.014328,-0.014370,-0.020824,-0.066113,-0.291167,0.091403,-0.357691,0.228237,-0.333072,0.160061,-0.108242
-0.008130,0.038840,-0.037908,0.012029,-0.005205,-0.027657,-0.067666,-0.442237,0.132044,-0.388824,0.110688,-0.439416,0.330814,-0.152361
-0.009621,0.038473,-0.032525,0.009949,0.002678,-0.033666,0.024712,-0.445519,-0.204357,-0.236693,0.122260,-0.478712,0.424732,-0.289592
-0.011259,0.038127,-0.026265,0.009704,0.001631,-0.036093,0.133785,-0.421988,-0.528475,-0.063635,0.151481,-0.409128,0.522873,-0.431329
-0.012730,0.037766,-0.020444,0.009228,0.001773,-0.036396,0.117208,-0.433133,-0.608824,0.047664,-0.000691,-0.351923,0.470888,-0.280364
-0.014253,0.037043,-0.014052,0.008430,0.005055,-0.036865,0.040397,-0.470595,-0.489817,0.017606,-0.142009,-0.309500,0.328272,-0.044875
-0.015554,0.036392,-0.008299,0.007550,0.004615,-0.035960,0.030777,-0.532943,-0.465689,0.042789,-0.175144,-0.415891,0.420795,-0.077821
-0.016993,0.036172,-0.001980,0.007904,-0.001052,-0.036430,0.088645,-0.558973,-0.637547,0.143259,-0.143457,-0.587477,0.564380,-0.246030
-0.018476,0.036064,0.004018,0.009570,-0.002612,-0.037476,0.109223,-0.555635,-0.638612,0.132933,-0.123197,-0.494557,0.636765,-0.307345
-0.019919,0.035310,0.010091,0.008347,0.004354,-0.035072,0.074256,-0.611571,-0.500988,0.042570,-0.211169,-0.291072,0.639986,-0.212752
-0.021066,0.034499,0.014869,0.007368,0.006043,-0.029859,0.067540,-0.621834,-0.565278,0.034803,-0.198224,-0.318197,0.533267,-0.157245
-0.022139,0.033089,0.018262,0.007771,0.013011,-0.019586,0.092174,-0.516719,-0.732370,0.112237,-0.079002,-0.497549,0.518067,-0.265073
-0.022977,0.031781,0.020040,0.007774,0.014080,-0.011104,0.047599,-0.477980,-0.645509,0.052916,-0.124349,-0.521034,0.613408,-0.289185
-0.023604,0.031502,0.019977,0.006957,0.003117,0.000365,-0.079494,-0.328738,-0.483914,-0.104244,-0.190318,-0.343046,0.605845,-0.174145
-0.023924,0.032525,0.018364,0.005700,-0.010732,0.010063,-0.116755,-0.224965,-0.404429,-0.189745,-0.068039,-0.260780,0.590456,-0.221997
-0.024025,0.034280,0.015341,0.004526,-0.016835,0.017470,-0.159593,-0.203755,-0.145665,-0.295069,0.148375,-0.323764,0.481487,-0.283779
