#{"t_start": 1743785438.5142946, "env_id": "milliAmpere1ROS_env/MilliAmpere1ROS-v4"}
r,l,t
939.322767,1001,77846.745502
939.96836,1001,78097.749725
943.408738,1001,78347.998057
953.801635,1001,78598.999692
919.120155,1001,78849.253082
928.289987,1001,79100.254167
908.674978,1001,79350.50455
936.181664,1001,79601.508183
946.243474,1001,79851.758093
912.917845,1001,80102.749627
941.741955,1001,80353.009999
930.628759,1001,80604.010565
927.436442,1001,80854.263422
935.516639,1001,81105.2655
918.114217,1001,81355.517453
941.011976,1001,81606.518625
954.780748,1001,81856.769657
954.921896,1001,82107.773033
926.065693,1001,82358.02595
946.899,1001,82609.02619
937.785211,1001,82859.278482
920.622933,1001,83110.259901
946.925309,1001,83360.533528
930.607213,1001,83611.485906
929.626652,1001,83861.786839
929.039709,1001,84112.766922
912.595385,1001,84363.039121
922.50069,1001,84614.016585
918.49676,1001,84864.294724
924.661838,1001,85114.546895
920.847402,1001,85365.548184
936.15219,1001,85615.799606
916.985207,1001,85866.801869
936.346463,1001,86117.051383
927.758309,1001,86368.056267
925.358404,1001,86618.305214
919.897717,1001,86869.306472
957.257114,1001,87119.557429
942.225903,1001,87370.560016
926.999291,1001,87620.810704
916.990303,1001,87871.813456
919.090994,1001,88122.063704
937.56694,1001,88373.065139
930.742003,1001,88623.317353
916.434286,1001,88874.319673
937.5096,1001,89124.571188
931.213918,1001,89375.572773
934.83808,1001,89625.826787
944.92831,1001,89876.825637
936.906077,1001,90127.077207
952.121551,1001,90378.078531
921.370765,1001,90628.330423
922.549448,1001,90879.332512
937.093934,1001,91129.583521
949.425893,1001,91380.585657
920.197527,1001,91630.838437
936.189831,1001,91881.839292
925.730283,1001,92132.08899
926.261903,1001,92383.091667
923.965043,1001,92633.343517
942.078355,1001,92884.3468
937.396111,1001,93134.598644
953.54207,1001,93385.58319
917.519967,1001,93635.855147
938.7788,1001,93886.832782
917.554573,1001,94137.104728
944.563347,1001,94388.084894
921.621167,1001,94638.356958
957.265651,1001,94889.332607
931.186184,1001,95139.610627
921.383552,1001,95390.586431
919.579252,1001,95640.863078
940.414033,1001,95891.810973
940.172081,1001,96142.115027
916.950838,1001,96392.366871
927.635077,1001,96643.369072
915.983169,1001,96893.621718
935.33092,1001,97144.625896
944.883469,1001,97394.875661
933.919046,1001,97645.8769
933.651813,1001,97896.128507
927.104937,1001,98147.130703
930.819045,1001,98397.381527
948.786564,1001,98648.382607
958.551212,1001,98898.635631
958.641449,1001,99149.636432
932.470323,1001,99399.8884
935.711474,1001,99650.891536
933.216725,1001,99901.14065
950.391907,1001,100152.142557
919.603485,1001,100402.394497
945.748747,1001,100653.396036
933.713822,1001,100903.651187
937.221814,1001,101154.654894
927.100861,1001,101404.903656
919.838168,1001,101655.906563
926.881951,1001,101906.155505
918.933501,1001,102157.158036
938.170714,1001,102407.40966
936.221012,1001,102658.411029
931.774788,1001,102908.662605
946.408527,1001,103159.660671
935.544082,1001,103409.915007
919.900886,1001,103660.91369
941.473501,1001,103911.168563
926.113917,1001,104162.131616
915.335193,1001,104412.421477
920.772868,1001,104663.422187
916.41271,1001,104913.675488
931.567501,1001,105164.629234
931.15458,1001,105414.930739
936.133562,1001,105665.896228
932.432981,1001,105916.180631
933.411693,1001,106167.163196
941.677956,1001,106417.434795
942.889282,1001,106668.383359
917.641393,1001,106918.688261
927.352841,1001,107169.648597
933.196729,1001,107419.941169
929.898169,1001,107670.191438
942.016242,1001,107921.19361
942.056522,1001,108171.445224
925.547268,1001,108422.446198
923.831688,1001,108672.699335
949.438922,1001,108923.70187
917.938715,1001,109173.953741
913.448497,1001,109424.954827
934.186255,1001,109675.207581
938.661765,1001,109926.208602
946.631532,1001,110176.460102
938.090404,1001,110427.461791
934.573519,1001,110677.714421
940.669843,1001,110928.7157
949.64695,1001,111178.968501
923.794288,1001,111429.970395
942.873444,1001,111680.221117
934.904347,1001,111931.224447
952.8319,1001,112181.475442
921.234127,1001,112432.475846
946.625047,1001,112682.728698
928.460845,1001,112933.730037
930.904366,1001,113183.981512
938.290806,1001,113434.981377
931.664982,1001,113685.231765
932.79029,1001,113936.23347
934.895415,1001,114186.487118
928.529709,1001,114437.487146
912.6496,1001,114687.739371
933.91762,1001,114938.741296
912.702796,1001,115188.993202
925.400722,1001,115439.995206
923.097664,1001,115690.249348
921.118461,1001,115941.247601
921.070592,1001,116191.499653
939.096708,1001,116442.477651
954.715212,1001,116692.753356
949.17186,1001,116943.745361
922.077505,1001,117194.006902
920.615349,1001,117445.001134
931.634448,1001,117695.261624
918.231015,1001,117946.208711
917.064835,1001,118196.512108
926.818451,1001,118446.764583
940.954457,1001,118697.766474
919.451072,1001,118948.021528
937.00748,1001,119199.020685
923.365744,1001,119449.271387
939.751278,1001,119700.273755
930.670515,1001,119950.525504
930.469408,1001,120201.526758
934.510205,1001,120451.78081
916.568204,1001,120702.781316
938.479116,1001,120953.034929
928.110536,1001,121204.035098
942.064577,1001,121454.285949
935.549866,1001,121705.287094
933.017023,1001,121955.539184
955.723777,1001,122206.541626
923.897819,1001,122456.793431
933.374491,1001,122707.794666
934.017683,1001,122958.046318
927.739944,1001,123209.048975
932.931546,1001,123459.298823
960.905082,1001,123710.300654
924.968227,1001,123960.551512
944.113041,1001,124211.553146
906.535399,1001,124461.806131
918.155987,1001,124712.807412
928.571617,1001,124963.059247
944.185271,1001,125214.061259
931.689368,1001,125464.311546
